iter	Passed	Remaining
0	0	61
1	1	57
2	1	55
3	2	51
4	2	51
5	3	50
6	3	50
7	4	49
8	4	49
9	5	48
10	5	48
11	6	47
12	6	46
13	7	46
14	8	45
15	8	45
16	9	44
17	9	44
18	10	43
19	10	43
20	11	42
21	11	42
22	12	41
23	12	40
24	13	40
25	13	39
26	14	39
27	15	38
28	15	38
29	16	37
30	16	37
31	17	36
32	17	36
33	18	35
34	18	35
35	19	34
36	19	34
37	20	33
38	21	32
39	21	32
40	22	31
41	22	30
42	23	30
43	23	30
44	24	29
45	24	28
46	25	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	25
53	28	24
54	29	23
55	29	23
56	30	22
57	30	22
58	31	21
59	32	21
60	32	20
61	33	20
62	33	19
63	34	19
64	34	18
65	35	18
66	35	17
67	36	17
68	36	16
69	37	16
70	38	15
71	38	15
72	39	14
73	39	14
74	40	13
75	41	13
76	42	12
77	42	12
78	43	11
79	43	10
80	44	10
81	45	9
82	45	9
83	46	8
84	46	8
85	47	7
86	48	7
87	48	6
88	49	6
89	49	5
90	50	4
91	50	4
92	51	3
93	51	3
94	52	2
95	52	2
96	53	1
97	54	1
98	54	0
99	55	0
