iter	Passed	Remaining
0	144	144277
1	145	72542
2	146	48577
3	147	36607
4	147	29406
5	148	24620
6	149	21192
7	150	18608
8	150	16607
9	151	15005
10	152	13688
11	152	12594
12	153	11663
13	154	10873
14	154	10177
15	155	9565
16	156	9026
17	156	8546
18	157	8118
19	157	7732
20	158	7383
21	158	7065
22	159	6776
23	160	6510
24	160	6266
25	161	6040
26	161	5830
27	162	5636
28	163	5469
29	163	5301
30	164	5147
31	165	5002
32	166	4867
33	166	4738
34	167	4614
35	167	4496
36	168	4385
37	169	4279
38	169	4179
39	170	4083
40	170	3993
41	171	3907
42	171	3825
43	172	3747
44	173	3672
45	173	3601
46	174	3532
47	174	3466
48	175	3403
49	175	3342
50	176	3284
51	177	3233
52	178	3182
53	178	3135
54	179	3090
55	180	3044
56	181	2999
57	182	2956
58	182	2915
59	183	2873
60	183	2831
61	184	2791
62	185	2753
63	185	2716
64	186	2681
65	186	2646
66	187	2612
67	188	2579
68	188	2547
69	189	2517
70	190	2486
71	190	2457
72	191	2429
73	191	2401
74	192	2373
75	193	2347
76	193	2320
77	194	2295
78	194	2270
79	195	2245
80	195	2221
81	196	2198
82	196	2173
83	197	2151
84	197	2131
85	198	2110
86	199	2089
87	199	2069
88	200	2050
89	200	2031
90	201	2012
91	202	1994
92	202	1975
93	203	1958
94	203	1941
95	204	1924
96	204	1908
97	205	1891
98	206	1875
99	206	1859
100	207	1844
101	207	1829
102	208	1814
103	208	1799
104	209	1785
105	210	1771
106	210	1758
107	211	1744
108	211	1731
109	212	1717
110	212	1705
111	213	1692
112	214	1680
113	214	1668
114	215	1656
115	215	1644
116	216	1632
117	217	1622
118	217	1611
119	218	1600
120	218	1589
121	219	1577
122	219	1567
123	220	1556
124	220	1546
125	221	1536
126	221	1525
127	222	1516
128	223	1506
129	223	1497
130	224	1487
131	224	1478
132	225	1469
133	225	1460
134	226	1451
135	227	1442
136	227	1434
137	228	1426
138	228	1418
139	229	1411
140	230	1403
141	230	1393
142	231	1386
143	231	1378
144	232	1371
145	233	1363
146	233	1356
147	234	1349
148	235	1342
149	235	1336
150	236	1329
151	236	1321
152	237	1314
153	238	1307
154	238	1300
155	239	1294
156	239	1287
157	240	1280
158	240	1274
159	241	1268
160	242	1261
161	242	1255
